title	type	url_slug	venue	date	location	talk_url	description	full_abstract
Voluntary and involuntary autobiographical memories: More similar than different?	Talk	2022-CSBBCS	CSBBCS	x2022-6-19	"Halifax, NS"		"In everyday life, memories of one's personal past (autobiographical memories; AMs) are typically retrieved either voluntarily or involuntarily. Here, we examined similarities and differences between voluntary and involuntary AMs (N = 4,801). Results indicated that recurrent IAMs were largely distinguished by higher emotionality/importance and lower vividness than voluntary AMs, though both types of memory overlapped considerably with regard to memory properties. Importantly, the emotionality of recurrent IAMs predicted symptoms of mental health disorders significantly better than voluntary AMs. Our work supports modeling recurrent IAMs as general cognitive phenomena with unique links to mental health."	"In everyday life, memories of one's personal past (autobiographical memories; AMs) are typically retrieved either voluntarily or involuntarily. Whereas voluntary AMs are retrieved using deliberate search processes, involuntary autobiographical memories (IAMs) pop into awareness without any attempt at retrieval. Recent work indicates that these IAMs are often recurrent: episodes of the same event are reexperienced repetitively. However, the basic nature of recurrent memories as a form of AM is disputed. While some argue that recurrent IAMs and voluntary AMs exist along a spectrum in terms of memory properties (e.g., vividness, emotionality), others argue that they are categorically different phenomena with categorically different impacts on mental health (e.g., depression, PTSD). Here, we examined current models of IAMs by administering surveys to undergraduates (N = 4,801), which probed for recurrent IAMs, voluntary AMs, and symptoms of mental health disorders. Results indicated that recurrent IAMs were largely distinguished by higher emotionality/importance and lower vividness than voluntary AMs, though both types of memory overlapped considerably with regard to memory properties. Importantly, the emotionality of recurrent IAMs predicted symptoms of mental health disorders significantly better than voluntary AMs. Our work supports modeling recurrent IAMs as general cognitive phenomena with unique links to mental health."
Assessing impacts of Waterloo's undergraduate mental health literacy course	Talk (co-author)	2021-UWTL	University of Waterloo	x2021-4-27	"Waterloo, ON"		"In 2020, the Faculty of Health launched the University of Waterloo's first undergraduate course on mental health literacy so that students could earn course credit for learning about mental health self-care and support for others. We conducted three studies that build on early research conducted by two of the presenters, examining students' outcomes following taking this course."	"Concerns about post-secondary students' mental health and well-being, as well as their generally low levels of mental health literacy, were well-documented before the COVID-19 pandemic (Clough et al., 2019; Gorczynski et al., 2020; Hern‡ndez-Torrano et al., 2020). To address these concerns, in the Winter term of 2020, the [Faculty] launched [Institution]'s first undergraduate [course] so that students could earn a credit for learning about mental health self-care and support for others. With support from an [Institution] Learning Innovation and Teaching Enhancement (LITE) SEED grant, we conducted three studies that build on early research conducted by two of the presenters (reference blinded for review). Study 1: In each term of 2021, we conducted a pre-post study to examine indicators of students' mental health literacy (e.g., attitudes toward help-seeking, stigma and self-stigma). A total of 161 students participated across the pre-post studies, and within-subjects analysis was possible with 51 participants. Study 2: One month after the end of the Fall 2021 term, we conducted a follow-up study to assess whether students were continuing to use wellness behaviours learned and practiced during the course. To date, 18 students have participated in the follow-up study. Study 3: In the Winter and Spring terms of 2021, we conducted a content analysis of students' final assignments to examine qualitative outcomes of having taken the course. In these assignments, students were asked to reflect on their key take-aways from the course as well as their achievement of the course-level learning outcomes. A total of 32 students participated in the third study. In this presentation, we will describe our findings from all three studies. All procedures were approved by the [Institution]'s Office of Research Ethics. "
Key takeaways from Waterloo's undergraduate mental health literacy course	Talk (co-author)	2021-UWSMHR	University of Waterloo	x2021-11-10	"Waterloo, ON"		"Since Winter 2020, the Faculty of Health has offered an undergraduate Mental Health Literacy course (AHS 105) for all students on campus. We conducted a study on a novel final assessment in which student were asked to reflect on their key learnings as well as their achievement of the course-level learning outcomes. "	"Since Winter 2020, the Faculty of Health has offered an undergraduate Mental Health Literacy course (AHS 105) for all students on campus. To date, approximately 600 students from all Faculties have completed AHS 105. With funding from a University of Waterloo Learning Innovation and Teaching Enhancement (LITE) grant, we conducted a study on a novel final assessment in which student were asked to reflect on their key learnings as well as their achievement of the course-level learning outcomes. The presentation describes the finding from a content analysis of the final assessment from 32 students across the Winter and Spring terms of 2021. Results were promising; students identified which learning outcomes they were, and were not, confident achieving, described the rationale for their self-assessment, and described their key learnings (Ôtake-aways') from the course."
Recurrent involuntary memories are linked to mental health and modulated by age: Insights from computational text analysis	Talk (co-author)	2021-MDRS	MDRS	x2021-10-5	Virtual		"Recurrent memories are linked to individual differences (e.g., age, symptoms of mental health disorders) in terms of their phenomenology (subjective experience) and content (what people report remembering). "	
What are recurrent memories about? Understanding their contents and links to mental health using computational text analysis	Talk	2021-CSBBCS	CSBBCS	x2021-6-17	"Montreal, QC"	https://youtu.be/ljiLS8pEfgU	"Researchers debate whether recurrent involuntary autobiographical memories (IAMs; personal memories retrieved unintentionally and repetitively) are pathological or ordinary. We asked if content could distinguish between maladaptive and benign recurrent IAMs. Using structural topic models, a method of unsupervised machine learning, we show that topics in recurrent IAMs - and their links to mental health - are identifiable, distinguishable, and quantifiable."	"Researchers debate whether recurrent involuntary autobiographical memories (IAMs; personal memories retrieved unintentionally and repetitively) are pathological or ordinary. While some argue that these memories contribute to clinical disorders, recurrent IAMs are also commonly experienced in everyday life. Few studies have considered characterizing the content of recurrent IAMs. In our study, we asked if content could distinguish between maladaptive recurrent IAMs that predict mental health status, and benign ones. Over two years, 9157 undergraduates completed surveys about recurrent IAMs, 3624 of whom wrote text descriptions of their memory. We identified coherent topics (e.g., friendships, car accidents) in these descriptions using structural topic models, a method of unsupervised machine learning. Further, mental health indices (e.g., depression, anxiety) uniquely predicted some topics in recurrent IAMs (e.g., trauma, stressful events), but not others (e.g., negative emotion, recreation). Our work shows that these topics - and their links to mental health - are identifiable, distinguishable, and quantifiable."
Assessing Waterloo's first undergraduate course on mental health literacy: Did students' attitudes change over time?	Talk	2020-UWSMHR	University of Waterloo	x2020-11-5	"Waterloo, ON"	https://web.archive.org/web/20210411054156/https://uwaterloo.ca/mental-health-wellness/cosmh-conference	"Does completion of a course on MHL have an effect on students' MHL-related attitudes, help-seeking intent, or perceived barriers to care? In a pre-post design, this study suggests that a course dedicated to MHL can have a significant, positive impact of several aspects of MHL in students.  Further, our findings support AHS's commitment to offering AHS 105 to all students on campus in future terms."	"Purpose: In Winter 2020, the University of Waterloo launched its first undergraduate course on Mental Health Literacy (MHL). AHS 105: Mental Health Literacy was offered through the Faculty of Applied Health Sciences and was available to undergraduate students in all six Faculties. With ethics approval, we conducted a pre-post study to address the question ÒDoes completion of a course on MHL have an effect on students' MHL-related attitudes, help-seeking intent, or perceived barriers to care?Ó 
Methods: At the beginning of the course, all students in AHS 105 (N = 106) were invited to participate in the study which involved completing demographic questions and seven online standardized scales. After the course ended, participants were asked to complete the same seven measures as well as three questions assessing general attitudes toward the course.
Results:  Of the 40 students who participated in the study, most were women (87%), third-year or above (71%), from the Faculties of AHS (56%) or Arts (31%), and had a mean age of 20.9). Ten participants completed measures at both T1 and T2.  Despite low power, within-subject analysis showed that students made significant (p<.05) gains from T1 to T2, with a large effect size (d = .85) in terms of attitudes toward seeking mental health services. Feedback on the course was largely very positive, both in students' ratings and in their text comments.
Implications: This study suggests that a course dedicated to MHL can have a significant, positive impact of several aspects of MHL in students.  Further, our findings support AHS's commitment to offering AHS 105 to all students on campus in future terms."
University of Waterloo's undergraduate course on mental health literacy	Talk	2020-CICMH	Centre for Innovation in Campus Mental Health	x2020-11-3	"Toronto, ON"		"We describe the design and evaluation of the University of Waterloo's first Mental Health Literacy course for undergraduate credit. We conducted a study measuring indicators of students' mental health literacy (e.g., attitudes toward help-seeking) at the start and end of the course (N = 37). Some significant improvements were found, along with strongly positive student feedback."	"In this evidence-informed session, we describe the design and evaluation of the University of Waterloo's first Mental Health Literacy course for undergraduate credit.  Offered through the Faculty of Applied Health Sciences, ÒAHS 105 Mental Health LiteracyÓ was available to undergraduate students in all six Faculties in Winter 2020.  Ninety-six students completed the course.  Students applied course concepts to their own mental wellness through the design, implementation, and evaluation of a Personal Mental Wellness Plan.  Working in small groups, students designed and implemented a small project aimed at addressing one aspect of mental health in their campus community.  With ethics approval, we conducted a study measuring indicators of students' mental health literacy (e.g., attitudes toward help-seeking) at the start and end of the course (N = 37).  We will report our findings along with student feedback."
Anxiety-provoking context scenes can reduce the context reinstatement effect	Talk (co-author)	2019b-CSBBCS	CSBBCS	x2019-6-9	"Waterloo, ON"		"Reinstating the same context from encoding during retrieval has been shown to benefit memory. In two experiments, we investigated whether anxiety-provoking context scenes lessened the context reinstatement (CR) benefit. We found that reinstating anxiety-provoking contexts failed to benefit target memory. Results suggest that the benefit of reinstating a context, on target memory, depends critically on the characteristics of the reinstated context."	"Reinstating the same context during retrieval, as at encoding, has been shown to benefit memory for targets associated with that context. In two experiments, we investigated whether anxiety-provoking context scenes lessened the context reinstatement (CR) benefit. During encoding, participants viewed target faces paired with scenes pre-rated as either highly anxiety-provoking or not, half of which contained other faces embedded within the scene. At retrieval, target faces were re-presented with either the same or a new context scene. In Experiment 1, the expected CR benefit occurred when contexts consisted of low-anxiety scenes, or high- anxiety scenes without embedded faces. In contrast, the CR benefit was reduced when contexts were high-anxiety scenes containing embedded faces. In Experiment 2, to determine whether the presence of embedded faces, or anxiety level of scenes drove the reduced CR effect, we included contexts consisting of low-anxiety scenes with embedded faces. Once again, the CR effect was shown to be reduced, only when the context scene was highly anxiety-provoking with embedded faces; that is, reinstating the same, versus new, anxiety-provoking context failed to benefit target memory. Results suggest that the benefit of reinstating a context, on target memory, depends critically on the characteristics of the reinstated context."
From tea cakes to trauma: Bridging gaps between involuntary memory and mental health	Talk	2019a-CSBBCS	CSBBCS	x2019-6-8	"Waterloo, ON"		"We investigated the properties of recurrent IAMs in general populations, and assessed their relation to mental health. We found that recurrent IAMs were experienced by most of our sample (52%), and that these memories were mostly negative in valence. Those reporting a negative IAM as their most frequently recurring also reported significantly more mental health concerns (e.g., posttraumatic stress, social anxiety, depression). "	"Memories of one's personal past that come to mind unintentionally and effortlessly are termed involuntary autobiographical memories (IAMs), and are reported to occur frequently in daily life within the general population (Berntsen, 1996; Rasmussen & Berntsen, 2011). In the current study, we investigate the properties of recurrent IAMs experienced in the general population, and assess their relation to mental health. Over two months, 2184 undergraduates responded to surveys querying the contents of their recurrent IAMs, as well as numerous qualitative aspects including their frequency and valence. Our findings show that recurrent IAMs are experienced by the majority of our sample (52%), and that these memories are mostly reported as being negative in valence. Additionally, those who report a negative IAM as their most frequently recurring one also report significantly more mental health concerns, including post-traumatic stress, social anxiety, and depression. We also found that the frequency at which an IAM recurs is predicted by the memory's level of detail, emotional intensity, and its centrality to one's life story. Finally, recurrent IAMs are described using significantly more words when they are emotionally positive, relative to negative or neutral. Recurrent IAMs may serve as a window into one's mental health."
From tea cakes to trauma: Bridging gaps between involuntary memory and mental health	Talk	2019-TAMeG	TAMeG	x2019-5-14	"Toronto, ON"		Are recurrent memories common in the general population? Can recurrent memories predict symptoms of mental health disorders? Can we better characterize recurrent memories using their autobiographical properties?	
